,17711,90.86,338.23,239.22,11272.51,4758.51,-4612.64,2.12,6177.1,6627.21,95,0.52,-2.05
,17806,90.99,338.69,239.22,11270.98,4846.87,-4647.51,0.5,6272.06,6715.02,95,0.14,0.48
,17901,91.08,336.53,239.22,11269.26,4934.68,-4683.69,2.28,6367.04,6803.53,95,0.09,-2.27
,17996,91.17,332.71,236.52,11267.4,5020.48,-4724.39,4.02,6461.91,6893.85,95,0.09,-4.02
,18091,91.23,329.44,239.22,11265.41,5103.6,-4770.32,3.44,6556.35,6985.9,95,0.06,-3.44
,18186,91.23,332.65,239.22,11263.37,5186.7,-4816.3,3.38,6650.78,7078.03,95,0,3.38
,18281,91.23,337.15,239.22,11261.33,5272.68,-4856.58,4.74,6745.66,7168.51,95,0,4.74
,18376,91.23,334.2,239.22,11259.29,5359.22,-4895.7,3.1,6840.6,7258.73,95,0,-3.11
,18471,91.26,334.64,239.22,11257.22,5444.89,-4936.71,0.46,6935.47,7349.69,95,0.03,0.46
,18566,91.23,338,379.78,11255.16,5531.86,-4974.85,3.54,7030.42,7439.79,95,-0.03,3.54
,18661,91.23,341.13,233.81,11253.12,5620.85,-5008,3.29,7125.31,7528.21,95,0,3.29
,18756,91.45,338.84,290.58,11250.9,5710.08,-5040.51,2.42,7220.15,7616.54,95,0.23,-2.41
,18851,91.51,340.74,241.92,11248.44,5799.2,-5073.31,2,7315.02,7705.14,95,0.06,2
,18946,91.23,341.31,239.22,11246.17,5889.01,-5104.19,0.67,7409.77,7793.15,95,-0.29,0.6
,19041,91.79,338.68,239.22,11243.67,5978.24,-5136.68,2.83,7504.61,7881.93,95,0.59,-2.77
,19136,91.54,340.91,277.06,11240.91,6067.35,-5169.47,2.36,7599.46,7970.96,95,-0.26,2.35
,19231,91.63,340.89,344.64,11238.28,6157.08,-5200.55,0.1,7694.22,8059.49,95,0.09,-0.02
,19326,91.82,341.56,239.22,11235.42,6246.99,-5231.11,0.73,7788.93,8147.97,95,0.2,0.71
,19421,90.99,342.47,239.22,11233.09,6337.32,-5260.43,1.3,7883.56,8236.12,95,-0.87,0.96
